ticker,filing_type,period,filing_date,coupon_label,value,pct_of_portfolio
NLY,10-Q,2025-09-30,2025-10-30,(0.2%),,1.7
NLY,10-Q,2025-09-30,2025-10-30,(0.1%),,0.9
NLY,10-Q,2025-09-30,2025-10-30,(0.3%),,2.4
NLY,10-Q,2025-09-30,2025-10-30,(0.6%),,4.4
NLY,10-Q,2025-09-30,2025-10-30,1.3%,,9.7
NLY,10-Q,2025-09-30,2025-10-30,0.8%,,5.8
NLY,10-Q,2025-09-30,2025-10-30,0.3%,,1.9
NLY,10-Q,2025-09-30,2025-10-30,(0.3%),,1.9
NLY,10-Q,2025-09-30,2025-10-30,(0.8%),,5.7
NLY,10-Q,2025-09-30,2025-10-30,(1.3%),,9.5
TWO,10-Q,2025-09-30,2025-10-28,≤ 3.25%,258318.0,
TWO,10-Q,2025-09-30,2025-10-28,> 3.25 - 3.75%,124093.0,
TWO,10-Q,2025-09-30,2025-10-28,> 3.75 - 4.25%,82509.0,
TWO,10-Q,2025-09-30,2025-10-28,> 4.25 - 4.75%,49860.0,
TWO,10-Q,2025-09-30,2025-10-28,> 4.75 - 5.25%,36003.0,
TWO,10-Q,2025-09-30,2025-10-28,> 5.25%,63670.0,
TWO,10-Q,2025-09-30,2025-10-28,≤ 2.25%,18397.0,
TWO,10-Q,2025-09-30,2025-10-28,> 2.25 - 2.75%,32584.0,
TWO,10-Q,2025-09-30,2025-10-28,> 2.75 - 3.25%,26702.0,
TWO,10-Q,2025-09-30,2025-10-28,> 3.25 - 3.75%,14064.0,
TWO,10-Q,2025-09-30,2025-10-28,> 3.75 - 4.25%,6503.0,
TWO,10-Q,2025-09-30,2025-10-28,> 4.25%,5643.0,
ARR,10-Q,2025-09-30,2025-10-22,2.5%,283796.0,
ARR,10-Q,2025-09-30,2025-10-22,3.0%,800451.0,
ARR,10-Q,2025-09-30,2025-10-22,3.5%,1241640.0,
ARR,10-Q,2025-09-30,2025-10-22,4.0%,976234.0,
ARR,10-Q,2025-09-30,2025-10-22,4.5%,909258.0,
ARR,10-Q,2025-09-30,2025-10-22,5.0%,2949380.0,
ARR,10-Q,2025-09-30,2025-10-22,5.5%,5150964.0,
ARR,10-Q,2025-09-30,2025-10-22,6.0%,3734970.0,
ARR,10-Q,2025-09-30,2025-10-22,6.5%,781091.0,
ARR,10-Q,2025-09-30,2025-10-22,"TBA Agency Securities (2) 30 Year Long, 5.0%",125000.0,
