ticker,period,preferred_equity,common_equity,common_pref_equity_ratio
CMTG,2024-12-31,0.0,2740014000.0,
CMTG,2024-09-30,0.0,2735189000.0,
CMTG,2025-09-30,0.0,2750589000.0,
CMTG,2024-06-30,0.0,2732228000.0,
CMTG,2024-03-31,0.0,2729617000.0,
CMTG,2025-03-31,0.0,2745136000.0,
CMTG,2025-06-30,0.0,2749284000.0,
CMTG,2023-12-31,0.0,2725217000.0,
CMTG,2023-06-30,0.0,2720168000.0,
CMTG,2023-03-31,0.0,2715725000.0,
CMTG,2022-12-31,0.0,2712316000.0,
CMTG,2023-09-30,0.0,2720688000.0,
CMTG,2022-09-30,0.0,2716376000.0,
CMTG,2022-06-30,0.0,2722993000.0,
CMTG,2021-12-31,0.0,2726190000.0,
CMTG,2022-03-31,0.0,2722981000.0,
CMTG,2020-12-31,125000.0,2491711000.0,19933.688
CMTG,2021-03-31,0.0,2484495000.0,
CMTG,2021-09-30,125000.0,2485409000.0,19883.272
CMTG,2021-06-30,0.0,2485878000.0,
CMTG,2020-03-31,0.0,2500158000.0,
CMTG,2019-12-31,0.0,2431072000.0,
CMTG,2020-09-30,0.0,2493321000.0,
CMTG,2020-06-30,0.0,2498111000.0,
CMTG,2025-12-31,0.0,2752884000.0,
CMTG,2018-12-31,0.0,1899608000.0,
